prefix_length,accuracy,mae
1,0.6345024599269957,922769.5613648645
2,0.8939850817330582,906190.8256951292
3,1.0,891825.7455467393
4,0.999682590065069,884815.3533574025
5,0.9593715283288367,884223.0649911138
6,0.8549436597365497,870967.8595234087
7,0.7299444003177125,869247.6226635425
8,0.7397674788979137,838331.5306197628
9,0.8208979328165374,617077.3379705267
10,0.6766654398233346,544214.772336584
11,0.7145231664242676,540642.338443384
12,0.7155397390272835,480393.4365553984
13,0.6971059286316381,425521.2963120262
14,0.7037164487267722,427597.93018066086
15,0.7009674582233949,420297.2113454266
16,0.6907498631636563,398819.53820881323
17,0.7109004739336493,394355.15066892403
18,0.7159763313609467,366070.4861217244
19,0.6917211328976035,361516.6394972772
20,0.7240437158469946,343859.0543469945
21,0.7414383561643836,323601.7147859586
22,0.7455357142857143,325938.8183805804
23,0.7309941520467836,300837.9426856724
24,0.7686567164179104,263898.94792910427
25,0.75,249198.00696749976
26,0.7843137254901961,253461.446764706
27,0.7377049180327869,217267.72924180338
28,0.7674418604651163,251019.5456627907
29,0.875,240322.05187499995
30,0.8490566037735849,260761.6595566038
31,0.7073170731707317,315762.40139024385
32,0.7352941176470589,282387.87523529417
33,0.896551724137931,237256.45168965514
34,0.8888888888888888,249126.64599999998
35,0.7692307692307693,279799.86803846154
36,0.6666666666666666,225537.1679583333
37,0.875,161946.33543750003
38,0.8571428571428571,144645.91328571428
39,0.5,247459.8475
40,0.75,111719.288875
41,0.75,115906.8255
42,1.0,142308.6295
43,0.5,163564.623
44,1.0,124821.964
45,1.0,96450.01449999999
46,1.0,97665.5555
47,1.0,67120.2795
48,1.0,57874.012
