prefix_length,accuracy,mae
1,0.0,905730.8549736736
2,0.0,905731.0667996797
3,0.28919030855249533,885258.0469605026
4,0.43314065510597305,861896.6227481354
5,0.38658502644030057,846710.1012369157
6,0.3074258171411357,829731.2121342501
7,0.24383256406175394,815224.0113724248
8,0.48356187014703456,804819.9202686369
9,0.398876404494382,795697.440365728
10,0.2775169535732916,786686.0621295519
11,0.19675925925925927,777975.6870779118
12,0.15530787502283938,771745.7343302764
13,0.11603576184135439,776805.8910265331
14,0.0940940940940941,783683.5234918009
15,0.08128544423440454,789719.3979272611
16,0.06965734896302976,797729.571396736
17,0.051407588739290085,804338.581200898
18,0.047850770478507706,805241.4154235362
19,0.03348281016442452,813744.0191212082
20,0.028666666666666667,814098.7496224198
21,0.024972046216921357,817417.1040377388
22,0.022110972048393827,815148.3245344039
23,0.018674136321195144,819950.1740234202
24,0.013000520020800831,822615.99516865
25,0.012237762237762238,826971.7189292173
26,0.007817589576547232,826836.1984694334
27,0.009406657018813314,827680.7935723282
28,0.005695687550854353,826070.6746025978
29,0.006357856494096276,831129.4657703589
30,0.005128205128205128,836186.3427041838
31,0.004656577415599534,831484.1525787064
32,0.0038910505836575876,836685.1323004946
33,0.002902757619738752,842326.9233916112
34,0.004862236628849271,843200.6427530282
35,0.0035460992907801418,852586.9589430927
36,0.0039603960396039604,859358.2666830976
37,0.0044444444444444444,871615.4557225268
38,0.0024691358024691358,868728.7053512128
39,0.0,873238.9269503681
40,0.0,872563.9633876093
41,0.0,882310.7978633874
42,0.0,882016.476050637
43,0.0,885381.2604140434
44,0.0,871268.8100755966
45,0.0,868288.0795224905
46,0.0,853369.123121585
47,0.0,860573.6903719296
48,0.0,825263.626648481
49,0.0,814202.1088059198
50,0.0,806226.6049008325
51,0.0,828867.042518331
52,0.0,850905.016542308
53,0.0,834397.1325116291
54,0.0,829074.8005970333
55,0.0,825687.1472606116
56,0.0,847383.3766122464
57,0.0,842581.609683399
58,0.0,861437.9186184685
59,0.0,874114.7579228857
60,0.0,860431.9715096623
61,0.0,876140.4528937088
62,0.0,845143.1269816547
63,0.0,798644.0161742127
64,0.0,812570.5842223706
65,0.0,759844.7642030339
66,0.0,724111.8974036727
67,0.0,753949.7709391405
68,0.0,725850.863801099
69,0.0,743759.7301976925
70,0.0,722509.5690969994
71,0.0,724467.6225051449
72,0.0,588675.3412704396
73,0.0,548782.3059507327
74,0.0,574280.8732840661
75,0.0,535141.1675880495
76,0.0,594001.0543010992
77,0.0,584602.8893652278
78,0.0,668121.9203652277
79,0.0,741746.0785664839
80,0.0,826626.2371379124
81,0.0,840585.9691379124
82,0.0,752454.6813521981
83,0.0,787503.7196021981
84,0.0,746590.4295188648
85,0.0,676557.0973521981
86,0.0,688806.6668521981
87,0.0,688807.293852198
88,0.0,400786.10785219807
89,0.0,400788.82985219813
90,0.0,401097.1138521981
91,0.0,402200.9028521981
92,0.0,972285.4548521981
93,0.0,974954.2808521981
94,0.0,976828.1018521981
95,0.0,976828.1018521981
