prefix_length,accuracy,mae
1,0.6345024599269957,923516.2226238516
2,0.8939850817330582,897153.1626881387
3,1.0,897057.8888357437
4,0.999682590065069,886935.0049082037
5,0.9596889382637677,882918.0017023433
6,0.8549436597365497,877128.5892247854
7,0.7439237490071485,870265.4110205349
8,0.745819397993311,835565.8842030095
9,0.8199289405684754,616934.4159945498
10,0.6759293338240707,548740.6199406217
11,0.712445460211926,551332.8681305829
12,0.7155397390272835,495387.95541444304
13,0.6976678842371453,447609.808776971
14,0.6999311768754302,444067.612387568
15,0.7014072119613016,440764.284008997
16,0.6765188834154351,426740.96806222305
17,0.7075152335815843,421517.5337590947
18,0.7125950972104819,389027.9443668344
19,0.6993464052287581,385438.44447486085
20,0.7295081967213115,365059.5765568351
21,0.7482876712328768,344796.3295375897
22,0.7544642857142857,341391.8047307418
23,0.7251461988304093,299997.691363329
24,0.7723880597014925,270121.80545517476
25,0.77,263823.1274729135
26,0.7516339869281046,254497.40666721927
27,0.6885245901639344,233455.06475294742
28,0.7558139534883721,256616.4494344727
29,0.8194444444444444,255774.27097531647
30,0.7924528301886793,266776.7634108384
31,0.7317073170731707,290555.10269560694
32,0.7352941176470589,261036.13764968904
33,0.8620689655172413,219403.40807740678
34,0.8333333333333334,243785.0302918946
35,0.6923076923076923,294276.95556105906
36,0.6666666666666666,241924.45027098618
37,0.875,226435.41966911222
38,1.0,285613.92701221834
39,0.5,320015.3648349757
40,1.0,90420.49466730747
41,0.75,119052.46034347554
42,1.0,141409.9139334368
43,0.0,180539.91470067558
44,1.0,8275.276954705281
45,1.0,37158.11516661786
46,1.0,102943.0408598366
47,1.0,62276.28191475576
48,1.0,79240.56979585685
