prefix_length,accuracy,mae
1,1.0,692197.4646329371
2,0.5372564004585403,692645.2929799393
3,0.5609366684406599,564089.3966110703
4,0.5786082474226805,667565.7909881399
5,0.713103448275862,650645.2115394013
6,0.8266767143933685,651391.6838822977
7,0.8842443729903537,646841.6648961919
8,0.910981697171381,646153.2406521486
9,0.6965811965811965,640170.4538667448
10,0.6842568161829375,617585.289544599
11,0.6996370235934665,606841.8013570851
12,0.6926032660902978,583134.1928663487
13,0.7173469387755103,527845.1101717397
14,0.7098901098901099,512353.9863415467
15,0.7047058823529412,480128.0833498939
16,0.6818757921419518,464515.4533384532
17,0.6652360515021459,437719.3751912278
18,0.6403225806451613,432551.73558682355
19,0.655045871559633,419715.70913385577
20,0.6757322175732218,399213.96889808495
21,0.6346153846153846,371531.79031639185
22,0.6267409470752089,364694.7453119813
23,0.7032258064516129,359246.23927275545
24,0.6970802919708029,352947.91541804676
25,0.6487603305785123,334908.60281130485
26,0.6368159203980099,329143.99684332206
27,0.6298342541436464,342321.4225581389
28,0.6787878787878788,296739.13387483277
29,0.6551724137931034,305075.61167456466
30,0.7076923076923077,318244.6581179857
31,0.6576576576576577,326168.04710532294
32,0.6530612244897959,332909.17568305426
33,0.6551724137931034,354566.61153475824
34,0.6623376623376623,401618.3746779958
35,0.6901408450704225,397939.68917342986
36,0.6153846153846154,335171.9706767825
37,0.5789473684210527,381015.27266829356
38,0.6415094339622641,342175.41770562285
39,0.5510204081632653,344310.848823039
40,0.7368421052631579,350574.5874132215
41,0.6388888888888888,312345.13219448604
42,0.5806451612903226,299379.4279937099
43,0.4827586206896552,298348.6599521884
44,0.47619047619047616,316190.77081471373
45,0.7368421052631579,267068.15677314694
46,0.75,273553.1458849821
47,0.5,372486.91270558385
48,0.625,472078.1705103877
49,0.6,547599.043202098
50,0.2,552874.4305380357
51,0.8,349966.3023322337
52,0.6,410034.0211213335
53,1.0,282469.9290197576
54,0.3333333333333333,375080.37886485085
55,0.0,879581.0829751405
56,0.0,253750.26850739736
57,0.0,92938.21017233432
58,1.0,133760.57523274308
59,1.0,49010.58255343809
