prefix_length,accuracy,mae
1,0.6345024599269957,904522.3372725365
2,0.8939850817330582,894768.1366622744
3,1.0,888065.4173377246
4,0.999682590065069,879935.9139012428
5,0.9596889382637677,874702.7066085801
6,0.8549436597365497,868952.4181430843
7,0.7434471803018269,870864.5744704568
8,0.7466157031374423,834271.7659641033
9,0.8207364341085271,623905.3269425489
10,0.666543982333456,546778.5422838286
11,0.710991065863287,535783.1154683563
12,0.7164887307236062,480522.3729711568
13,0.6999157066591739,435107.4728599167
14,0.6982105987611837,434109.45503373834
15,0.7014072119613016,433994.7471121772
16,0.6874657909140668,417320.98537756957
17,0.7088693297224103,414196.9427483086
18,0.7041420118343196,385618.5056163587
19,0.7015250544662309,381350.60752191505
20,0.7281420765027322,364121.5690437357
21,0.75,344468.09680313175
22,0.7544642857142857,352424.9361193425
23,0.7309941520467836,325515.6249898512
24,0.7723880597014925,285415.7598118043
25,0.765,276458.7388429484
26,0.7581699346405228,274219.2815520158
27,0.7377049180327869,233519.10498535278
28,0.7674418604651163,250364.6258138461
29,0.8611111111111112,259542.9967310144
30,0.8490566037735849,264272.8367041894
31,0.7073170731707317,315535.5030488477
32,0.7058823529411765,289650.80176205805
33,0.8620689655172413,204644.97922023133
34,0.8888888888888888,219909.23174709597
35,0.6153846153846154,253061.6811181391
36,0.6666666666666666,204052.69022369574
37,0.75,251653.3784356399
38,1.0,137281.17540184857
39,0.5,203621.97348734748
40,1.0,182498.7450224701
41,0.75,158356.25782168613
42,1.0,114067.27900117946
43,0.0,75881.05826614815
44,1.0,31680.77272765447
45,1.0,66915.62556149431
46,1.0,125683.48478897304
47,1.0,127286.02554640795
48,1.0,54408.63698756475
