prefix_length,accuracy,mae
1,0.0,928394.9080060555
2,0.0,928394.8536437309
3,0.3651801301380733,926183.9373540473
4,0.528804951594985,893894.2670786714
5,0.12870972861450564,880768.6835119771
6,0.07189335026186319,879409.139424399
7,0.023351866560762508,878371.6966949237
8,0.0699155916547221,892640.9736260619
9,0.040697674418604654,974087.327876011
10,0.017666543982333457,980869.4760996201
11,0.03885310617078745,1007766.1634186299
12,0.03867141162514828,1043877.4210144776
13,0.026130935656083168,1072245.9387130644
14,0.026496902959394355,1087001.4177756663
15,0.020228671943711522,1097679.9521300553
16,0.02353585112205802,1118262.8748154014
17,0.02234258632362898,1133919.4940182292
18,0.02028740490278952,1149092.5349546142
19,0.02505446623093682,1153484.1220473836
20,0.015027322404371584,1181420.2520191285
21,0.011986301369863013,1192929.3127149625
22,0.020089285714285716,1193312.9565499667
23,0.011695906432748537,1180581.0655590435
24,0.022388059701492536,1189383.0783776229
25,0.025,1188527.7384519218
26,0.013071895424836602,1192847.2579474517
27,0.00819672131147541,1181125.792956039
28,0.03488372093023256,1176513.2769633583
29,0.0,1190514.1521296331
30,0.0,1165129.5683918463
31,0.0,1125543.4174451868
32,0.029411764705882353,1173559.1686702347
33,0.034482758620689655,1205204.0733072134
34,0.0,1201830.3648159401
35,0.0,1182128.9650170973
36,0.08333333333333333,1250048.972577444
37,0.0,1275079.101292933
38,0.0,1287137.1668643616
39,0.0,1251079.565542933
40,0.0,1257204.902542933
41,0.0,1275080.230292933
42,0.0,1256944.3066262666
43,0.0,1217796.5177929332
44,0.0,1335239.878292933
45,0.0,1335239.8902929332
46,0.0,1335239.911792933
47,0.0,1335239.937792933
48,0.0,1335239.955292933
